"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Modules","1","0","Products page renders a data area","0"
"0","","0","Auth","1","0","Admin can sign in with email + password","0"
"0","","0","App shell","10","0","All primary navigation routes render","0"
"0","","0","CRUD","1","0","Suppliers: create and delete","0"
"0","","0","Marketing","1","0","Landing page renders","0"
"0","","0","Auth","1","0","Sign-in form renders","0"
"0","","0","Routing","1","0","Unknown route shows a not-found state","0"
"0","","0","App shell","5","0","Sidebar is present on every module","0"
"0","","0","Auth","1","0","Sign out clears session and returns to /auth","0"
"0","","0","Content","1","0","Inventory vs Stock blog guide renders","0"
"0","","0","Modules","1","0","Reports page renders headings/sections","0"
"0","","0","SEO","1","0","sitemap.xml is served and lists key routes","0"
"0","","0","SEO","1","0","robots.txt is served","0"
"0","","0","Dashboard","1","0","KPI cards render on dashboard","0"
"0","","0","CRUD","1","0","Settings: organization name field is editable and persists","0"
"0","","0","Auth","1","0","Protected route redirects unauthenticated users","0"
"0","","0","App shell","1","0","Top bar renders account menu","0"
"0","","0","CRUD","1","0","Customers: create and delete","0"
"0","","0","Marketing","1","0","Landing page has key CTAs and nav","0"
"0","","0","Modules","1","0","Settings page renders headings/sections","0"
"0","","0","CRUD","1","0","Reports page renders KPI section headings","0"
"0","","0","CRUD","1","0","Categories: create and delete","0"
"0","","0","CRUD","1","0","Products: create with SKU + name and delete","0"
"0","","0","Onboarding","1","0","Signed-in user reaches onboarding or dashboard","0"
"0","","0","CRUD","1","0","Inventory page shows adjust-stock control","0"
"0","","0","Auth","1","0","Invalid credentials do not sign the user in","0"
