"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3749","test_navigation[/suppliers-suppliers]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","5290","test_reports_page_content","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4881","test_products_page_content","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","5639","test_navigation[/products-products]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","5549","test_settings_page_content","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3376","test_navigation[/dashboard-dashboard]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4152","test_navigation[/sales-orders-sales_orders]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3771","test_navigation[/reports-reports]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4332","test_navigation[/categories-categories]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4419","test_sidebar_present[/reports]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4214","test_sidebar_present[/products]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4326","test_sidebar_present[/inventory]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","23","test_robots_txt","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","40","test_sitemap_xml","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","1115","test_auth_page","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","2422","test_post_signin_flow","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4402","test_dashboard_kpis","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4087","test_navigation[/settings-settings]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3404","test_top_bar_account","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","948","test_not_found_route","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4041","test_sign_out","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","1120","test_blog_inventory_vs_stock","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4256","test_navigation[/purchase-orders-purchase_orders]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","1280","test_landing_page","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3124","test_invalid_credentials","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","1068","test_landing_has_ctas","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3778","test_navigation[/customers-customers]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","1315","test_protected_route_redirect","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","2147","test_admin_sign_in","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","3943","test_sidebar_present[/settings]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","4200","test_navigation[/inventory-inventory]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
"","17877","test_sidebar_present[/dashboard]","tests","2026-07-11","passed","2026-07-11","","test_e2e","",""
